match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision,team_1_avg_runs,team_2_avg_runs,team_1_won_toss,team_1_batted_first,venue_encoded,team_1_won
1120286,Pakistan,Sri Lanka,292,209,Pakistan,Dubai International Cricket Stadium,Sri Lanka,field,237.21428571428572,229.3519313304721,0,1,75,1
1120287,Pakistan,Sri Lanka,219,187,Pakistan,Sheikh Zayed Stadium,Pakistan,bat,237.21428571428572,229.3519313304721,1,1,237,1
1120288,Sri Lanka,Pakistan,208,209,Pakistan,Sheikh Zayed Stadium,Sri Lanka,bat,229.3519313304721,237.21428571428572,1,1,237,0
1120289,Sri Lanka,Pakistan,173,177,Pakistan,Sharjah Cricket Stadium,Sri Lanka,bat,229.3519313304721,237.21428571428572,1,1,235,0
1120290,Sri Lanka,Pakistan,103,105,Pakistan,Sharjah Cricket Stadium,Sri Lanka,bat,229.3519313304721,237.21428571428572,1,1,235,0
1122279,South Africa,India,269,270,India,Kingsmead,South Africa,bat,246.04545454545453,247.694,1,1,129,0
1122280,South Africa,India,118,119,India,SuperSport Park,India,field,246.04545454545453,247.694,0,1,258,0
1122281,India,South Africa,303,179,India,Newlands,South Africa,field,247.694,246.04545454545453,0,1,180,1
1122282,India,South Africa,289,207,India,The Wanderers Stadium,India,bat,247.694,246.04545454545453,1,1,269,1
1122283,India,South Africa,274,201,India,St George's Park,South Africa,field,247.694,246.04545454545453,0,1,253,1
1122284,South Africa,India,204,206,India,SuperSport Park,India,field,246.04545454545453,247.694,0,1,258,0
1122726,India,Sri Lanka,112,114,Sri Lanka,Himachal Pradesh Cricket Association Stadium,Sri Lanka,field,247.694,229.3519313304721,0,1,106,0
1122727,India,Sri Lanka,392,251,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sri Lanka,field,247.694,229.3519313304721,0,1,193,1
1122728,Sri Lanka,India,215,219,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,field,229.3519313304721,247.694,0,1,73,0
1124089,Hong Kong,Papua New Guinea,230,207,Hong Kong,ICC Academy,Papua New Guinea,field,181.41176470588235,185.98214285714286,0,1,110,1
1130737,Zimbabwe,Bangladesh,170,171,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,204.35055350553506,214.4063492063492,0,1,241,0
1130738,Zimbabwe,Sri Lanka,290,278,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Sri Lanka,field,204.35055350553506,229.3519313304721,0,1,241,1
1130739,Bangladesh,Sri Lanka,320,157,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,214.4063492063492,229.3519313304721,1,1,241,1
1130740,Zimbabwe,Sri Lanka,198,202,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Zimbabwe,bat,204.35055350553506,229.3519313304721,1,1,241,0
1130741,Bangladesh,Zimbabwe,216,125,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,214.4063492063492,204.35055350553506,1,1,241,1
1130742,Bangladesh,Sri Lanka,82,83,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,214.4063492063492,229.3519313304721,1,1,241,0
1130743,Sri Lanka,Bangladesh,221,142,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Sri Lanka,bat,229.3519313304721,214.4063492063492,1,1,241,1
