match_id,innings,batting_team,total_runs,wickets,ball_faced
225253,2,England,285,10,297
225254,1,England,321,7,311
225254,2,Sri Lanka,324,2,243
225437,1,Sri Lanka,244,9,317
225437,2,India,245,5,246
225959,1,India,249,9,307
225959,2,South Africa,252,5,312
226352,1,England,327,4,310
226352,2,Pakistan,285,10,288
226354,1,Pakistan,353,6,309
226354,2,England,188,10,258
226356,1,England,206,9,312
226356,2,Pakistan,200,9,311
226359,1,South Africa,221,6,310
226359,2,India,224,5,291
226364,1,Australia,252,8,308
226364,2,New Zealand,105,10,171
226375,1,Australia,228,10,306
226375,2,South Africa,231,5,298
226376,1,Australia,245,10,312
226376,2,South Africa,186,10,285
226377,1,Australia,281,7,306
226377,2,South Africa,201,9,307
226378,1,Australia,344,6,309
226378,2,South Africa,287,6,304
226380,1,Sri Lanka,309,7,304
226380,2,Australia,258,10,306
226381,1,Sri Lanka,218,8,311
226381,2,Australia,219,5,296
226382,1,Sri Lanka,233,8,306
226382,2,Australia,237,4,255
226383,1,Sri Lanka,282,6,313
226383,2,South Africa,188,10,269
226384,1,South Africa,263,5,301
226384,2,Sri Lanka,254,8,307
226385,1,Sri Lanka,221,10,291
226385,2,South Africa,224,5,278
226386,1,Sri Lanka,257,9,314
226386,2,South Africa,181,10,267
226390,1,Sri Lanka,164,10,289
226390,2,New Zealand,166,3,228
226391,1,Sri Lanka,255,7,311
226391,2,New Zealand,256,5,299
226392,1,New Zealand,224,9,308
226392,2,Sri Lanka,203,10,282
235831,1,India,328,10,307
235831,2,Pakistan,311,7,293
236358,1,Sri Lanka,274,8,309
236358,2,Australia,252,10,298
236520,1,Pakistan,265,10,305
236520,2,India,266,3,267
236595,1,Australia,368,5,306
236595,2,Sri Lanka,201,10,221
236809,1,Pakistan,288,8,316
236809,2,India,292,5,297
236963,1,Sri Lanka,266,9,303
236963,2,Australia,267,1,278
237222,1,Pakistan,161,10,268
237222,2,India,162,5,201
237568,1,New Zealand,288,9,310
237568,2,West Indies,207,10,292
237571,1,Pakistan,286,8,313
237571,2,India,287,2,288
237574,1,Bangladesh,118,10,223
237574,2,Sri Lanka,119,5,157
238169,1,Sri Lanka,212,10,304
238169,2,Bangladesh,213,6,293
238170,1,Sri Lanka,309,7,306
238170,2,Bangladesh,231,9,303
238173,1,Bangladesh,195,10,299
238173,2,Australia,196,6,274
238174,1,Australia,250,5,309
238174,2,Bangladesh,183,10,295
238175,1,Bangladesh,124,10,272
238175,2,Australia,127,1,143
238176,1,West Indies,200,9,304
238176,2,New Zealand,204,7,266
238177,1,New Zealand,276,6,311
238177,2,West Indies,255,10,298
238178,1,New Zealand,324,6,311
238178,2,West Indies,233,8,309
238179,1,New Zealand,233,10,307
238179,2,West Indies,234,7,300
238188,1,India,203,10,292
238188,2,England,164,10,232
238189,1,England,226,10,305
238189,2,India,230,6,306
238190,1,India,294,6,315
238190,2,England,245,10,298
238193,1,India,223,10,300
238193,2,England,227,6,273
238194,1,England,288,10,315
238194,2,India,289,3,306
238196,1,Australia,229,8,290
238196,2,South Africa,207,4,231
238197,1,South Africa,289,7,305
