match_id,team_1,team_2,team_1_runs,team_2_runs,winner,venue,toss_winner,toss_decision
226385,Sri Lanka,South Africa,221,224,South Africa,Western Australia Cricket Association Ground,Sri Lanka,bat
226386,Sri Lanka,South Africa,257,181,Sri Lanka,Bellerive Oval,Sri Lanka,bat
226390,Sri Lanka,New Zealand,164,166,New Zealand,John Davies Oval,New Zealand,field
226391,Sri Lanka,New Zealand,255,256,New Zealand,Jade Stadium,New Zealand,field
226392,New Zealand,Sri Lanka,224,203,New Zealand,Westpac Stadium,New Zealand,bat
235831,India,Pakistan,328,311,India,Arbab Niaz Stadium,Pakistan,field
236358,Sri Lanka,Australia,274,252,Sri Lanka,Adelaide Oval,Sri Lanka,bat
236520,Pakistan,India,265,266,India,Rawalpindi Cricket Stadium,Pakistan,bat
236595,Australia,Sri Lanka,368,201,Australia,Sydney Cricket Ground,Australia,bat
236809,Pakistan,India,288,292,India,Gaddafi Stadium,India,field
236963,Sri Lanka,Australia,266,267,Australia,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat
237222,Pakistan,India,161,162,India,Multan Cricket Stadium,India,field
237568,New Zealand,West Indies,288,207,New Zealand,Westpac Stadium,New Zealand,bat
237571,Pakistan,India,286,287,India,National Stadium,India,field
237574,Bangladesh,Sri Lanka,118,119,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat
238169,Sri Lanka,Bangladesh,212,213,Bangladesh,Shaheed Chandu Stadium,Bangladesh,field
238170,Sri Lanka,Bangladesh,309,231,Sri Lanka,Chittagong Divisional Stadium,Bangladesh,field
238173,Bangladesh,Australia,195,196,Australia,Chittagong Divisional Stadium,Bangladesh,bat
238174,Australia,Bangladesh,250,183,Australia,Narayanganj Osmani Stadium,Australia,bat
238175,Bangladesh,Australia,124,127,Australia,Narayanganj Osmani Stadium,Bangladesh,bat
238176,West Indies,New Zealand,200,204,New Zealand,Queenstown Events Centre,New Zealand,field
238177,New Zealand,West Indies,276,255,New Zealand,Jade Stadium,New Zealand,bat
238178,New Zealand,West Indies,324,233,New Zealand,McLean Park,West Indies,field
238179,New Zealand,West Indies,233,234,West Indies,Eden Park,New Zealand,bat
238188,India,England,203,164,India,Feroz Shah Kotla,England,field
238189,England,India,226,230,India,Nahar Singh Stadium,England,bat
238190,India,England,294,245,India,"Nehru Stadium, Fatorda",India,bat
238193,India,England,223,227,England,Keenan Stadium,India,bat
238194,England,India,288,289,India,Maharani Usharaje Trust Cricket Ground,India,field
238196,Australia,South Africa,229,207,Australia,SuperSport Park,Australia,bat
238197,South Africa,Australia,289,93,South Africa,Newlands,South Africa,bat
238198,Australia,South Africa,254,230,Australia,St George's Park,South Africa,field
238199,South Africa,Australia,246,247,Australia,Kingsmead,South Africa,bat
238200,Australia,South Africa,434,438,South Africa,New Wanderers Stadium,Australia,bat
238214,Sri Lanka,Pakistan,130,134,Pakistan,R Premadasa Stadium,Pakistan,field
238215,Sri Lanka,Pakistan,224,229,Pakistan,Sinhalese Sports Club Ground,Pakistan,field
239907,Zimbabwe,West Indies,151,154,West Indies,"Antigua Recreation Ground, St John's",West Indies,field
239908,West Indies,Zimbabwe,242,144,West Indies,"Antigua Recreation Ground, St John's",West Indies,bat
239911,Zimbabwe,West Indies,152,156,West Indies,"Beausejour Stadium, Gros Islet",Zimbabwe,bat
239912,West Indies,Zimbabwe,263,72,West Indies,"Queen's Park Oval, Port of Spain",West Indies,bat
239913,West Indies,Zimbabwe,266,162,West Indies,"Queen's Park Oval, Port of Spain",West Indies,bat
239916,West Indies,India,198,197,West Indies,"Sabina Park, Kingston",India,field
239917,India,West Indies,245,248,West Indies,"Warner Park, Basseterre",India,bat
239918,India,West Indies,217,218,West Indies,"Queen's Park Oval, Port of Spain",West Indies,field
239919,West Indies,India,255,236,West Indies,"Queen's Park Oval, Port of Spain",India,field
244510,India,Pakistan,197,201,Pakistan,Sheikh Zayed Stadium,India,bat
244511,India,Pakistan,269,218,India,Sheikh Zayed Stadium,India,bat
247457,West Indies,Pakistan,241,187,West Indies,"Sabina Park, Kingston",Pakistan,field
247458,Australia,Scotland,334,131,Australia,"Warner Park, Basseterre",Scotland,field
